satellite width
8 28.3
0 22.5
9 26
0 24.8
4 26
0 23.8
0 26.5
0 24.7
0 23.7
0 25.6
0 24.3
0 25.8
11 28.2
0 21
14 26
8 27.1
1 25.2
1 29
0 24.7
5 27.4
4 23.2
3 25
1 22.5
2 26.7
3 25.8
0 26.2
3 28.7
5 26.8
0 27.5
0 24.9
4 29.3
0 25.8
0 25.7
8 25.7
5 26.7
0 23.7
0 26.8
6 27.5
0 23.4
6 27.9
3 27.5
5 26.1
6 27.7
5 30
9 28.5
4 28.9
6 28.2
4 25
3 28.5
3 30.3
5 24.7
5 27.7
6 27.4
4 22.9
5 25.7
15 28.3
3 27.2
3 26.2
0 27.8
0 25.5
0 27.1
5 24.5
3 27
5 26
1 28
8 30
10 29
0 26.2
0 26.5
3 26.2
7 25.6
1 23
0 23
6 25.4
0 24.2
0 22.9
3 26
4 25.4
0 25.7
5 25.1
0 24.5
0 27.5
0 23.1
4 25.9
0 25.8
3 27
0 28.5
0 25.5
0 23.5
0 24
5 29.7
0 26.8
0 26.7
0 28.7
0 23.1
1 29
0 25.5
1 26.5
1 24.5
1 28.5
1 28.2
1 24.5
1 27.5
4 24.7
1 25.2
1 27.3
1 26.3
1 29
2 25.3
4 26.5
3 27.8
6 27
0 25.7
2 25
2 31.9
0 23.7
12 29.3
0 22
5 25
6 27
6 23.8
2 30.2
0 26.2
2 24.2
3 27.4
0 25.4
3 28.4
4 22.5
2 26.2
6 24.9
6 24.5
0 25.1
4 28
10 25.8
7 27.9
0 24.9
5 28.4
5 27.2
6 25
6 27.5
7 33.5
3 30.5
3 29
0 24.3
0 25.8
8 25
4 31.7
4 29.5
10 24
9 30
4 27.6
0 26.2
0 23.1
0 22.9
0 24.5
4 24.7
0 28.3
2 23.9
0 23.8
4 29.8
4 26.5
3 26
8 28.2
0 25.7
7 26.5
0 25.8
0 24.1
2 26.2
3 26.1
4 29
0 28
0 27
0 24.5
